00108410|338|17254.9
00108410|2|101.1
00164V10|149|7813.55
00164V10|172|9728.08
00164V10|2|113.1
00164V10|5|289.05
00164V10|6|329.04
00164V10|18|934.56
00182C10|128|7879.68
00182C10|170|10409.08
00182C10|22|1328.8
00182C10|80|3805.6
00282410|370|14559.66
00282410|53|2419.45
00282410|4|180.12
00282410|8|344.72
00287Y10|2052|125274.6
00287Y10|141|8406.42
00287Y10|287|17974.31
00365410|156|17528.16
00365410|6|681.54
00365410|1|111.18
00365410|9|950.67
00449810|89|1676.76
00484M10|411|7870.61
00484M10|451|9538.63
00484M10|18|371.7
00484M10|14|290.5
00484M10|78|1485.9
00484M10|139|2349.1
00484M10|50|792.37
00484M10|27|407.7
00508Y10|108|18228.23
00512510|115|3073.94
00751Y10|120|17275.08
00751Y10|2|281.4
00751Y10|1|170.01
00751Y10|2|303.38
00751Y10|7|1013.39
00751Y10|1|141.1
00790310|2368|17404.64
00817Y10|408|45365.11
01165910|241|17180.65
01242310|419|7805.93
01242310|566|10431.38
01242310|296|4390.64
01242310|141|1913.36
01535110|216|26228.86
01535110|55|6513.65
01535110|64|7879.67
01625510|203|17106.79
01717510|32|18455.36
01858110|86|17451.98
01858110|1|230.47
02000210|253|17216.62
02000210|342|24654.78
02079K30|119|97647.82
02079K30|1|836.94
02209S10|2302|148709.2
02209S10|471|30546.71
02313510|118|97530.53
02313510|91|77650.3
02313510|111|94372.19
02313510|26|23134.02
02313510|25|22423.5
02313510|33|31109.43
02313510|43|41079.62
02343610|184|7834.54
02343610|205|9497.45
02343610|8|362.48
02376R10|647|25575.91
02376R10|1|45.97
02483510|379|17725.79
02483510|3|138.57
02483510|25|1168.75
02581610|1005|66973.2
02687478|307|18954.15
02687478|74|4407.44
03073E10|217|17258.01
03073E10|10|788.39
03073E10|10|761.2
03076C10|158|17740.24
03076C10|3|341.45
03076C10|2|227.05
03116210|2|286.76
03116210|97|14079.55
03116210|17|2702.81
03116210|43|7055.87
03265410|302|19192.07
03525510|160|7838.24
03525510|200|9977.98
03525510|2|100.18
03525510|45|2111.85
03525510|28|1224.97
03675210|292|36216.73
03675210|90|12877.19
03748R10|402|17302.04
03783310|6884|794257.1
03783310|293|32511.28
03822210|1505|43479.3
03965L10|678|18299.15
04621X10|212|17388.22
05276910|260|18428.8
05276910|106|7713.61
05348410|102|17187.78
05348410|43|6967.72
05493710|471|18350.11
05493710|224|9938.87
06050510|12687|213775.95
06050510|948|19471.83
06050510|415|9445.36
06375010|2211|17356.13
06375010|19|147.25
06405810|398|19386.58
06405810|9|421.47
06405810|555|25895.75
06738310|80|17176.8
06738310|52|11002.16
07589610|425|17259.21
07589610|21|857.01
07589610|3|120.18
07589610|7|281.26
07589610|16|648.61
07589610|11|431.2
07589610|4|153.72
07589610|9|335.61
07589610|21|747.18
08651610|441|17318.03
08651610|16|672.8
08930210|154|7780.06
08930210|213|10643.61
08930210|3|155.7
08930210|21|1020.16
08930210|6|287.88
09057220|103|17665.53
09073M10|166|17620.88
09073M10|1|106.38
09073M10|9|944.01
09073M10|9|883.08
09073M10|3|303.87
09075E10|33|0
09075E10|339|17377.11
10113710|1575|34327.13
11012210|2062|101470.81
11012210|1|56.42
12485720|529|30098.99
12508E10|320|17315.2
12526910|679|17348.45
12526910|20|489.8
12550910|290|35994.8
12572Q10|415|42574.85
12646R10|360|17285.2
12646R10|7|336.63
12646R10|3|144.63
12646R10|7|338
12646R10|20|966
12665010|810|63972.99
12680430|134|7803.22
12680430|183|10427.33
12680430|9|501.3
12680430|77|3656.72
12680430|7|325.15
12709710|834|17197
12709710|39|817.83
12709P10|131|7873.09
12709P10|155|9554.2
12738710|678|17282.15
12738710|385|10156.3
12819510|229|7802.01
12819510|307|10266.05
13442910|319|17146.22
13442910|3|179.49
13442910|8|455.92
14040H10|673|50713.33
14040H10|156|12308.38
14313010|335|17289.35
14313010|9|446.22
14365830|510|24031.15
14752810|145|17588.49
14752810|3|366.81
14752810|8|939.96
14752810|6|681.24
14752810|5|576.7
14752810|8|870.4
14880610|289|7817.42
14880610|378|10310.84
14880610|5|140.79
15102010|955|93637.75
15135B10|138|7828.74
15135B10|156|9737.5
15678210|254|12151.11
15678210|117|5773.95
15986410|22|1580.04
15986410|204|16552.54
16119P10|283|70346.46
16307210|348|17166.49
16373110|393|17154.41
16373110|7|329.91
16373110|3|135.39
16516710|54|354.78
16516710|2217|15496.61
16516710|222|1631.7
16516710|137|952.14
16516710|66|434.28
16516710|177|1122.18
16516710|538|3039.65
16516710|157|835.24
16965610|47|17142.55
16965610|1|367.48
17243V10|434|17312.22
17243V10|6|235.5
17243V10|14|543.62
17243V10|4|157.32
17243V10|3|125.73
17290810|161|17175.48
17290810|1|106.27
17461010|647|17287.84
18905410|144|17164.66
18905410|2|238
18905410|5|587.15
18905410|4|460.24
18905410|2|233.78
19242210|327|17304.84
19242210|4|208.32
