,Mkt-RF,RF,IBM
200510,-2.02,0.27,2.069243422
200511,3.61,0.31,8.83390594
200512,-0.25,0.32,-7.536616137
200601,3.04,0.35,-1.094871537
200602,-0.3,0.34,-1.05592406
200603,1.46,0.37,2.779149184
200604,0.73,0.36,-0.157650298
200605,-3.57,0.43,-2.612509868
200606,-0.35,0.4,-3.854830609
200607,-0.78,0.4,0.768044153
200608,2.03,0.42,5.016106471
200609,1.84,0.41,1.197912286
200610,3.23,0.41,12.68002704
200611,1.71,0.42,-0.120993445
200612,0.87,0.4,5.689770475
200701,1.4,0.44,2.05865816
200702,-1.96,0.38,-5.980815334
200703,0.68,0.43,1.420295854
200704,3.49,0.44,8.434158988
200705,3.24,0.41,4.701012173
200706,-1.96,0.4,-1.266408614
200707,-3.73,0.4,5.13067707
200708,0.92,0.42,5.831488043
200709,3.22,0.32,0.95125678
200710,1.8,0.32,-1.426143614
200711,-4.83,0.34,-9.100042763
200712,-0.87,0.27,2.776233625
200801,-6.36,0.21,-0.915812129
200802,-3.09,0.13,6.708326019
200803,-0.93,0.17,1.124199171
200804,4.6,0.18,4.828889217
200805,1.86,0.18,7.671134562
200806,-8.44,0.17,-8.421503355
200807,-0.77,0.15,7.972635463
200808,1.53,0.13,-4.513085196
200809,-9.24,0.15,-3.918529739
200810,-17.23,0.08,-20.51127919
200811,-7.86,0.03,-11.73905584
200812,1.74,0,3.137227772
200901,-8.12,0,8.899695332
200902,-10.1,0.01,0.960944366
200903,8.95,0.02,5.280865348
200904,10.19,0.01,6.522844986
200905,5.21,0,3.512389558
200906,0.43,0.01,-1.750100114
200907,7.72,0.01,12.93815516
200908,3.33,0.01,0.568624955
200909,4.08,0.01,1.321468508
200910,-2.59,0,0.836052191
200911,5.56,0,5.229270143
200912,2.75,0.01,3.601140633
201001,-3.36,0,-6.501153266
201002,3.4,0,4.362092868
201003,6.31,0.01,0.857184834
201004,2,0.01,0.584792752
201005,-7.89,0.01,-2.401504125
201006,-5.56,0.01,-1.421057084
201007,6.93,0.01,3.984452936
201008,-4.77,0.01,-3.629194869
201009,9.54,0.01,8.941769024
201010,3.88,0.01,7.052314897
201011,0.6,0.01,-1.05245003
201012,6.82,0.01,3.746593524
201101,1.99,0.01,10.38434053
201102,3.49,0.01,0.321565022
201103,0.45,0.01,0.735101297
201104,2.9,0,4.605368849
201105,-1.27,0,-0.524396425
201106,-1.75,0,1.550962316
201107,-2.36,0,6.004061692
201108,-5.99,0.01,-5.05438622
201109,-7.59,0,1.721794822
201110,11.35,0,5.581321637
201111,-0.28,0,2.234577756
201112,0.74,0,-2.191474496
201201,5.05,0,4.742230147
201202,4.42,0,2.542112987
201203,3.11,0,6.059040292
201204,-0.85,0,-0.75245417
201205,-6.19,0.01,-6.457376209
201206,3.89,0,1.389355757
201207,0.79,0,0.204525802
201208,2.55,0.01,-0.152113128
201209,2.73,0.01,6.466532765
201210,-1.76,0.01,-6.228020476
201211,0.78,0.01,-1.86509369
201212,1.18,0.01,0.778662975
201301,5.57,0,6.014117636
201302,1.29,0,-0.686798895
201303,4.03,0,6.209217274
201304,1.55,0,-5.044540142
201305,2.8,0,3.187039818
201306,-1.2,0,-8.129007774
201307,5.65,0,2.05637773
201308,-2.71,0,-6.080191346
201309,3.77,0,1.596524235
201310,4.18,0,-3.223879171
201311,3.12,0,0.800693006
201312,2.81,0,4.391143149
201401,-3.32,0,-5.805853603
201402,4.65,0,5.379875681
201403,0.43,0,3.953131236
201404,-0.19,0,2.067622444
201405,2.06,0,-5.617455902
201406,2.61,0,-1.676051564
201407,-2.04,0,5.737287472
201408,4.24,0,0.922037659
201409,-1.97,0,-1.284461859
201410,2.52,0,-13.396191
201411,2.55,0,-0.681301802
201412,-0.06,0,-1.066814064
201501,-3.11,0,-4.444014314
201502,6.13,0,6.37010298
201503,-1.12,0,-0.889202092
201504,0.59,0,6.722728811
201505,1.36,0,-0.207922485
201506,-1.53,0,-4.120238618
201507,1.54,0,-0.411886293
201508,-6.04,0,-7.946371966
201509,-3.08,0,-1.974433348
201510,7.75,0,-3.373109212
201511,0.56,0,0.462438414
201512,-2.17,0.01,-1.291089363
201601,-5.77,0.01,-9.32275493
201602,-0.07,0.02,6.072907807
201603,6.96,0.02,15.58422198
201604,0.92,0.01,-3.638156662
201605,1.78,0.01,6.361311216
201606,-0.05,0.02,-1.27488515
201607,3.95,0.02,5.824206085
201608,0.5,0.02,-0.228991453
201609,0.25,0.02,-0.018875439
201610,-2.02,0.02,-3.248342584
201611,4.86,0.01,6.507685821
201612,1.82,0.03,2.323998494
201701,1.94,0.04,5.138871703
201702,3.57,0.04,3.851604411
201703,0.17,0.03,-3.158714328
201704,1.09,0.05,-7.953373819
201705,1.06,0.06,-3.84863487
201706,0.78,0.06,0.786216751
201707,1.87,0.07,-5.954638726
201708,0.17,0.07,-0.089028764
201709,2.51,0.09,1.433263371
