PERMNO,DIVAMT,EXDT
10126,,
10127,,
10128,,
10129,,
10130,,
10131,,
10132,,
10133,,
10134,,
10135,,
10136,,
10137,0.15,20100304
10137,0.15,20100603
10137,0.15,20100909
10137,0.15,20101209
10138,0.27,20100312
10138,0.27,20100610
10138,0.27,20100910
10138,0.27,20101210
10138,0.31,20110311
10138,0.31,20110610
10138,0.31,20110912
10138,0.31,20111212
10138,0.34,20120313
10138,0.34,20120612
10138,0.34,20120911
10138,0.34,20121212
10138,1,20121213
10138,0.38,20130311
10138,0.38,20130611
10138,0.38,20130911
10138,0.38,20131212
10138,0.44,20140312
10138,0.44,20140611
10138,0.44,20140911
10138,0.44,20141212
10138,0.52,20150312
10138,2,20150407
10138,0.52,20150611
10138,0.52,20150911
10138,0.52,20151214
10138,0.54,20160314
10138,0.54,20160613
10138,0.54,20160913
10138,0.54,20161213
10139,,
10140,,
10141,,
10142,,
10143,,
10144,,
10145,0.3025,20100217
10145,0.3025,20100518
10145,0.3025,20100818
10145,0.3025,20101117
10145,0.3325,20110216
10145,0.3325,20110518
10145,0.3325,20110817
10145,0.3725,20111116
10145,0.3725,20120223
10145,0.3725,20120516
10145,0.3725,20120816
10145,0.41,20121116
10145,0.41,20130221
10145,0.41,20130516
10145,0.41,20130816
10145,0.45,20131119
10145,0.45,20140225
10145,0.45,20140520
10145,0.45,20140819
10145,0.5175,20141118
10145,0.5175,20150224
10145,0.5175,20150519
10145,0.5175,20150818
10145,0.595,20151117
10145,0.595,20160223
10145,0.595,20160517
10145,0.595,20160817
10145,0.665,20161116
10146,,
10147,0.1,20130627
10147,0.1,20130927
10147,0.1,20140106
10147,0.1,20140328
10147,0.115,20140627
10147,0.115,20140929
10147,0.115,20141230
10147,0.115,20150330
10147,0.115,20150629
10147,0.115,20150929
10147,0.115,20151230
10147,0.115,20160330
10147,0.115,20160629
10148,,
10149,,
10150,,
10151,,
10152,,
10153,,
10154,,
10155,,
10156,,
10157,,
10158,,
10159,,
10160,,
10161,,
10162,,
10163,,
10164,,
10165,,
10166,,
10167,,
10168,,
10169,,
10170,,
10171,,
10172,,
10173,,
10174,,
10175,,
10176,,
10177,,
10178,,
10179,,
10180,,
10181,,
10182,,
10183,,
10184,,
10185,,
10186,,
10187,,
10188,,
10189,,
10190,,
10191,,
10192,,
10193,,
10194,,
10195,,
10196,,
10197,,
10198,,
10199,,
10200,,
10201,0.08831,20100728
10201,0.08633,20100827
10201,0.08893,20100928
10201,0.0892,20101027
10201,0.08842,20101126
10201,0.0909,20101229
10201,0.09153,20110127
10201,0.09211,20110224
10201,0.09312,20110329
10201,0.09564,20110427
10201,0.09322,20110526
10201,0.09223,20110628
10201,0.09658,20110727
10201,0.09289,20110829
10201,0.08917,20110928
10201,0.09003,20111027
10201,0.09109,20111128
10201,0.09392,20111228
10201,0.09563,20120127
10201,0.09584,20120227
10201,0.09658,20120328
10201,0.09718,20120426
10201,0.09351,20120529
10201,0.09329,20120627
10201,0.09461,20120727
10201,0.09687,20120829
10201,0.09788,20120926
10201,0.09609,20121029
10201,0.09651,20121128
10201,0.09659,20121227
10201,0.09505,20130129
10201,0.09359,20130226
10201,0.03262,20130326
10201,0.03259,20130426
10201,0.03218,20130529
10201,0.31737,20130626
10201,0.03241,20130729
10201,0.03171,20130828
10201,0.03234,20130926
10201,0.03191,20131029
10201,0.03158,20131126
10201,0.03133,20131227
10201,0.02996,20140129
10201,0.0301,20140226
10201,0.0299,20140327
10201,0.03018,20140428
10201,0.03071,20140528
10201,0.03104,20140626
10201,0.03083,20140729
10201,0.03038,20140827
10201,0.02667,20141125
10201,0.02382,20150225
10201,0.02426,20150527
10201,0.02253,20150827
10201,0.0249,20151125
10202,,
10203,,
10204,,
10205,0.07,20100202
10205,0.09,20100504
10205,0.09,20100803
10205,0.09,20101102
10206,,
10207,0.09,20110303
10207,0.1,20110602
10207,0.11,20110901
10207,0.11,20111202
10207,0.1,20120302
10207,0.1,20120604
10207,0.09,20120904
10207,0.17,20121204
10207,0.1,20130304
10207,0.09,20130612
10207,0.1,20130912
10207,0.11,20131211
10207,0.1,20140311
10207,0.1,20140612
10207,0.11,20140911
10207,0.11,20141211
10207,0.11,20150513
10207,0.11,20150612
10207,0.1,20150911
10207,0.12,20151211
10207,0.1,20160311
10207,0.09,20160610
10207,0.09,20160913
10207,0.12,20161213
10208,,
10209,,
10210,,
10211,,
10212,,
10213,,
10214,,
10215,,
10216,,
10217,,
10218,,
10219,,
10220,0.08,20121115
10220,0.08,20130214
10220,0.08,20130515
10220,0.08,20130816
10220,0.1,20131121
10220,0.1,20140226
10220,0.1,20140521
10220,0.1,20140818
10220,0.1,20141118
10220,0.1,20150226
10220,0.1,20150512
10220,0.06,20150818
10220,0.06,20151118
10220,0.09,20160303
10220,0.09,20160512
10220,0.09,20160818
10220,0.09,20161115
10221,,
10222,,
10223,,
10224,,
10225,0.19,20100208
10225,0.19,20100510
10225,0.19,20100809
10225,0.19,20101108
10225,0.19,20110207
10225,0.19,20110509
10225,0.19,20110808
10225,0.19,20111107
10225,0.205,20120206
10225,0.205,20120507
10225,0.205,20120806
10225,0.205,20121105
10225,0.225,20130204
10225,0.225,20130506
10225,0.225,20130812
10225,0.225,20131104
10225,0.225,20140204
10226,,
10227,,
10228,,
10229,,
10230,,
10231,,
10232,0.2,20100303
10232,0.2,20100609
10232,0.2,20100908
10232,0.2,20101201
10232,0.2,20110302
10232,0.2,20110610
10232,0.2,20110907
10232,0.22,20111207
10232,0.22,20120305
10232,0.22,20120608
10232,0.23,20120912
10232,0.23,20121206
10232,0.23,20130312
10232,0.23,20130611
10232,0.23,20130911
10232,0.23,20131205
10232,0.23,20140311
10232,0.23,20140603
10232,0.23,20140908
10232,0.23,20141126
10232,0.23,20150309
10232,0.23,20150602
10232,0.23,20150904
10232,0.23,20151201
10232,0.23,20160308
10232,0.23,20160607
10232,0.23,20160906
10232,0.23,20161206
10233,,
10234,,
10235,,
10236,,
10237,,
10238,,
10239,0.25,20100219
10239,0.25,20100219
10239,0.25,20100514
10239,0.25,20100813
10239,0.25,20101112
10239,1,20101216
10239,0.25,20110217
10239,0.25,20110520
10239,0.25,20110819
10239,0.25,20111118
10239,0.25,20120216
10239,0.25,20120518
10239,0.25,20120817
10239,0.25,20121116
10239,0.25,20130214
10239,0.25,20130517
10239,0.25,20130816
10239,0.25,20131115
10239,0.25,20140214
10239,0.25,20140520
10239,0.25,20140822
10239,0.25,20141121
10239,0.25,20150217
10239,0.25,20150521
10239,0.25,20150821
10239,0.25,20151120
10239,0.26,20160217
10239,0.26,20160520
10239,0.26,20160819
10239,0.26,20161118
10240,,
10241,,
10242,,
10243,,
10244,,
10245,,
10246,,
10247,,
10248,,
10249,,
10250,,
10251,,
10252,0.18,20100325
10252,0.18,20100624
10252,0.18,20100923
10252,0.18,20101222
10252,0.19,20110324
10252,0.19,20110623
10252,0.19,20110922
10252,0.19,20111221
10252,0.21,20120322
10252,0.21,20120628
10252,0.21,20120927
10252,0.21,20121220
10252,0.22,20130327
10252,0.22,20130627
10252,0.22,20130926
10252,0.22,20131226
10252,0.24,20140327
10252,0.24,20140626
10252,0.24,20140925
10252,0.24,20141224
10252,0.26,20150326
10252,0.26,20150625
10252,0.26,20150924
10252,0.26,20151223
10252,0.29,20160323
10252,0.29,20160623
10252,0.29,20160922
