date,mktrf,smb,hml
19680521,0.005800,0.004900,-0.000700
19680522,0.003200,0.006400,0.002700
19680523,-0.001300,0.004600,-0.002300
19680524,0.003100,0.002600,0.003200
19680527,-0.000400,0.007900,-0.003000
19680528,0.006200,0.001800,-0.004700
19680529,0.003200,0.001300,-0.000200
19680531,0.007600,0.000900,0.002000
19680603,0.012500,-0.000600,-0.003300
19680604,0.005300,0.003000,0.003200
19680605,-0.004700,-0.001900,0.002000
19680606,0.009000,0.004200,0.000100
19680607,0.006700,0.003900,-0.001700
19680610,0.001000,-0.000200,-0.001200
19680611,0.002300,0.002000,0.002800
19680613,-0.004400,-0.001300,-0.002400
19680614,-0.001600,-0.000800,-0.001100
19680617,-0.011200,-0.004300,-0.000200
19680618,-0.001200,0.001400,-0.000600
19680620,0.005100,-0.002900,-0.001000
19680621,0.001400,-0.001500,0.002600
19680624,-0.003900,-0.003200,0.003200
19680625,-0.004400,-0.003500,-0.000300
19680627,-0.001700,0.000400,-0.000400
19680628,-0.003400,0.003600,0.004300
19680701,-0.002300,0.000100,0.006000
19680702,0.004100,0.003500,-0.004100
19680703,0.012500,0.004600,-0.005300
19680708,0.010600,0.002900,-0.003600
19680709,0.002700,0.000000,0.002700
19680711,0.001000,0.000700,0.003700
19680712,-0.000600,0.001400,0.003200
19680715,-0.001700,0.001900,0.003500
19680716,-0.005400,0.001600,0.004000
19680718,-0.003500,-0.000700,0.002700
19680719,-0.009400,-0.002400,0.010900
19680722,-0.014300,-0.009400,0.014200
19680723,-0.002500,-0.003500,-0.000900
19680725,-0.013000,-0.001800,0.008800
19680726,0.002700,-0.004800,0.002200
19680729,-0.008800,-0.006300,0.007100
19680730,0.001100,-0.000600,-0.001000
19680801,-0.005400,0.001200,-0.000500
19680802,-0.005600,0.000200,0.000500
19680805,0.003900,0.003800,-0.003400
19680806,0.004500,0.003700,-0.001000
19680808,-0.002500,0.000500,0.004700
19680809,0.000300,-0.001000,0.001900
19680812,0.009900,0.003400,-0.004800
19680813,0.004500,0.000400,-0.000200
19680815,-0.003900,0.004800,0.003000
19680816,0.005900,0.000200,0.000300
19680819,0.003400,0.003400,0.000900
19680820,0.000000,0.002100,-0.001300
19680822,-0.003200,-0.000500,-0.001100
19680823,0.000300,0.003400,0.003200
19680826,0.002300,-0.002100,0.002800
19680827,-0.001900,0.000500,0.001800
19680829,-0.001200,-0.001500,0.001300
19680830,0.002100,0.000900,0.001800
19680903,0.003700,-0.002800,0.002700
19680904,0.006100,-0.000700,0.001300
19680905,0.007000,-0.000200,-0.002700
19680906,0.004200,0.002000,-0.004500
19680909,0.001300,0.004300,0.000400
19680910,-0.005000,0.000800,0.004400
19680912,-0.002000,0.003900,0.000800
19680913,0.003700,0.003600,-0.004700
19680916,0.003800,0.000500,0.000500
19680917,0.002400,-0.000100,-0.000800
19680919,0.001600,0.002200,-0.001200
19680920,0.001100,-0.000200,0.005700
19680923,0.005600,-0.000500,-0.002100
19680924,0.003700,0.003800,-0.004300
19680926,-0.001900,0.001300,0.001900
19680927,0.000800,0.005600,0.002500
19680930,0.004200,0.002300,0.002800
19681001,0.001600,0.003700,0.002600
19681003,0.003400,-0.000900,0.004700
19681004,0.002600,-0.004200,0.001700
19681007,-0.000300,-0.001700,-0.000700
19681008,-0.000500,-0.003400,0.001900
19681010,-0.004200,0.002100,-0.000900
19681011,0.000000,0.003800,0.000500
19681014,0.001600,0.000400,0.000500
19681015,0.001900,0.001400,0.002200
19681017,0.004900,-0.000500,-0.001600
19681018,0.006900,-0.003000,-0.000400
19681021,0.001400,-0.000900,0.002800
19681022,-0.003400,0.001200,0.002100
19681024,-0.006300,0.004200,0.003200
19681025,0.003100,0.000000,0.003500
19681028,-0.003300,-0.001200,0.001300
19681029,-0.005700,-0.003000,0.001200
19681031,0.000500,-0.002500,0.003800
19681101,-0.003700,-0.001400,0.000400
19681104,0.000100,-0.001900,-0.004200
19681106,0.001800,0.000600,0.001900
19681107,0.002700,-0.002200,-0.004200
19681108,0.005200,0.003000,0.000300
19681112,0.007400,0.002100,-0.002700
19681113,0.005600,0.003200,-0.003500
19681114,0.001000,0.004700,-0.001800
19681115,0.005600,0.001600,0.001400
19681118,0.001600,-0.000200,0.002300
19681119,0.002900,0.001400,0.001100
19681121,-0.000500,0.003300,0.002200
19681122,0.004500,0.002800,-0.000100
19681125,0.002600,0.002100,-0.000500
19681126,0.006600,-0.001200,0.000400
19681127,0.004200,0.003500,-0.002800
19681129,0.005600,0.001000,0.001200
19681202,-0.001900,0.004600,-0.004000
19681203,-0.001000,0.001600,-0.001600
19681205,-0.002800,0.003600,0.001500
19681206,0.002600,0.002700,-0.000100
19681209,-0.001800,0.006500,-0.001800
19681210,-0.001900,0.002700,0.000900
19681212,-0.000500,0.002300,0.003200
19681213,0.002800,0.001700,0.002500
19681216,-0.004000,0.000700,0.000600
19681217,-0.004600,-0.001100,-0.002300
19681219,0.002300,-0.000800,-0.002200
19681220,-0.004900,0.005900,-0.000400
19681223,-0.010500,0.001900,0.002500
19681224,-0.001300,0.001300,-0.001100
19681226,0.001200,0.000600,0.001300
19681227,-0.003900,0.001900,0.004000
19681230,-0.010400,-0.004900,0.000100
19681231,0.000800,0.003900,-0.002500
19690102,0.000800,0.003000,-0.000400
19690103,-0.000100,-0.000500,-0.000200
19690106,-0.015100,-0.003000,0.004500
19690107,-0.013700,-0.010000,0.000100
19690108,-0.005100,-0.003700,-0.000700
19690109,0.004000,0.001100,0.000200
19690110,-0.003000,-0.000700,0.004500
19690113,-0.007300,-0.009400,0.004700
19690114,0.007300,0.000100,-0.002300
19690115,0.006000,0.005400,-0.000300
19690116,0.005500,0.003000,0.000600
19690117,-0.001000,0.003400,-0.000900
19690120,-0.002000,0.004300,0.001100
19690121,-0.001300,0.000900,-0.000200
19690122,0.003900,0.003000,-0.002100
19690123,0.005200,0.004300,-0.000500
19690124,-0.000600,0.000700,0.000100
19690127,-0.000100,-0.000500,0.001900
19690128,0.000200,-0.000500,0.003400
19690129,0.000700,-0.002800,0.006400
19690130,-0.000300,-0.002100,0.000600
19690131,0.003700,-0.003800,-0.003500
19690203,-0.000900,-0.000700,0.004300
19690204,0.000000,-0.000500,0.002900
19690205,0.001400,-0.003800,0.001600
19690206,0.003200,-0.003500,-0.001500
19690207,0.000900,0.000800,-0.001600
19690211,0.000800,0.001200,-0.001100
19690212,-0.000500,0.000100,-0.003900
19690213,0.000300,-0.001500,-0.002200
19690214,-0.001100,0.000000,0.000100
19690217,-0.012800,-0.005400,0.006300
19690218,-0.012000,-0.005900,-0.000400
19690219,-0.008100,-0.002100,0.003000
19690220,-0.009600,-0.004200,0.000600
19690224,-0.012700,-0.007300,0.003200
19690225,-0.007500,-0.004600,-0.001900
19690226,0.004100,-0.001300,-0.003300
19690227,-0.004700,-0.002600,0.002300
19690228,-0.000500,-0.000800,0.000600
19690303,0.001700,-0.003400,-0.001800
19690304,0.009900,0.000700,0.001400
19690305,0.003300,0.000900,-0.002400
19690306,-0.011800,-0.002900,0.006300
19690307,-0.001800,-0.007600,0.004000
19690310,0.003500,0.001300,-0.004400
19690311,0.004000,0.001900,0.000900
19690312,-0.002900,0.000000,0.002200
19690313,-0.007100,-0.002200,0.002800
19690314,-0.005100,-0.003400,0.002100
19690317,0.002100,-0.002600,-0.005900
19690318,0.002900,0.003700,-0.001100
