"","PERMNO","TICKER","CUSIP","year","RET","mcap"
"1",10001,"EGAS","36720410",2010,0.07407207595554,44700.25
"2",10001,"EGAS","36720410",2011,0.139600347646555,81865.3
"3",10001,"EGAS","36720410",2012,-0.139628720208418,93281.76
"4",10001,"EGAS","36720410",2013,-0.091282093843246,78144.06
"5",10001,"EGAS","36720410",2014,0.444208611175726,84034.08
"6",10001,"EGAS","36720410",2015,-0.280755798203516,115577.76
"7",10001,"EGAS","36720410",2016,0.739179235420611,78997.6
"8",10002,"BTFG","05978R10",2010,-0.0696864252672069,54665.4
"9",10002,"BTFG","05978R10",2011,-0.535582659978172,46390.57
"10",10002,"BTFG","05978R10",2012,1.24193799104673,20663.2
"11",10025,"AEPI","00103110",2010,-0.322098047566613,271065.12
"12",10025,"AEPI","00103110",2011,0.0847858193696414,162877.44
"13",10025,"AEPI","00103110",2012,1.10408476971976,154763.1
"14",10025,"AEPI","00103110",2013,-0.108053703138103,340764.91
"15",10025,"AEPI","00103110",2014,0.100694587206454,297077.04
"16",10025,"AEPI","00103110",2015,0.326735486349967,294698
"17",10025,"AEPI","00103110",2016,0.523537720146999,373488.57
"18",10026,"JJSF","46603210",2010,0.21941375910893,738634.8
"19",10026,"JJSF","46603210",2011,0.115724708393916,916716.48
"20",10026,"JJSF","46603210",2012,0.210640278084449,987966.28
"21",10026,"JJSF","46603210",2013,0.400835433621387,1208122.56
"22",10026,"JJSF","46603210",2014,0.244459610648453,1628049.15
"23",10026,"JJSF","46603210",2015,0.0872389269267848,2011433.82
"24",10026,"JJSF","46603210",2016,0.159438412231507,2112181.93
"25",10028,"DGSE","23323G10",2010,2.03546375373419,13768.5834
"26",10028,"DGSE","23323G10",2011,0.745316673164288,43564.62
"27",10028,"DGSE","23323G10",2013,-0.589318245289896,65385.12
"28",10028,"DGSE","23323G10",2014,-0.452917418674153,26178.4
"29",10028,"DGSE","23323G10",2015,-0.729509808975528,15524.48
"30",10028,"DGSE","23323G10",2016,2.75759655283001,3836.352
"31",10032,"PLXS","72913210",2010,0.0863735221663546,1166077.09
"32",10032,"PLXS","72913210",2011,-0.115061442597011,1287034.47
"33",10032,"PLXS","72913210",2012,-0.0577088472846189,968170.92
"34",10032,"PLXS","72913210",2013,0.67789357138288,934408.8
"35",10032,"PLXS","72913210",2014,-0.048045654182351,1445407.86
"36",10032,"PLXS","72913210",2015,-0.152632330149116,1361042.36
"37",10032,"PLXS","72913210",2016,0.547547136613338,1138704.72
"38",10044,"RMCF","77467X10",2010,0.243514063396828,49602.21
"39",10044,"RMCF","77467X10",2011,-0.0775159720906986,59797.104
"40",10044,"RMCF","77467X10",2012,0.28728555985672,52989.9
"41",10044,"RMCF","77467X10",2013,0.137964040486438,66126.5
"42",10044,"RMCF","77467X10",2014,0.171625244687115,70639.8
"43",10044,"RMCF","77467X10",2015,-0.148902197539567,80742.69
"44",10044,"RMCF","77467X10",2016,-0.00693036713152417,62126.96
"45",10051,"HGR","41043F20",2010,0.53217586978818,451440
"46",10051,"HGR","41043F20",2011,-0.117980904849422,706325.76
